actual_deaths,date,county_state,deaths_predicted_county,deaths_predicted_shared,deaths_predicted_ensemble,date_of_10_deaths,days_since_10_deaths
0,2020-01-28,"King County, WA",NA,NA,NA,2020-03-05,-37
0,2020-01-29,"King County, WA",NA,NA,NA,2020-03-05,-36
0,2020-01-30,"King County, WA",NA,NA,NA,2020-03-05,-35
0,2020-01-31,"King County, WA",NA,NA,NA,2020-03-05,-34
0,2020-02-01,"King County, WA",NA,NA,NA,2020-03-05,-33
0,2020-02-02,"King County, WA",NA,NA,NA,2020-03-05,-32
0,2020-02-03,"King County, WA",NA,NA,NA,2020-03-05,-31
0,2020-02-04,"King County, WA",NA,NA,NA,2020-03-05,-30
0,2020-02-05,"King County, WA",NA,NA,NA,2020-03-05,-29
0,2020-02-06,"King County, WA",NA,NA,NA,2020-03-05,-28
0,2020-02-07,"King County, WA",NA,NA,NA,2020-03-05,-27
0,2020-02-08,"King County, WA",NA,NA,NA,2020-03-05,-26
0,2020-02-09,"King County, WA",NA,NA,NA,2020-03-05,-25
0,2020-02-10,"King County, WA",NA,NA,NA,2020-03-05,-24
0,2020-02-11,"King County, WA",NA,NA,NA,2020-03-05,-23
0,2020-02-12,"King County, WA",NA,NA,NA,2020-03-05,-22
0,2020-02-13,"King County, WA",NA,NA,NA,2020-03-05,-21
0,2020-02-14,"King County, WA",NA,NA,NA,2020-03-05,-20
0,2020-02-15,"King County, WA",NA,NA,NA,2020-03-05,-19
0,2020-02-16,"King County, WA",NA,NA,NA,2020-03-05,-18
0,2020-02-17,"King County, WA",NA,NA,NA,2020-03-05,-17
0,2020-02-18,"King County, WA",NA,NA,NA,2020-03-05,-16
0,2020-02-19,"King County, WA",NA,NA,NA,2020-03-05,-15
0,2020-02-20,"King County, WA",NA,NA,NA,2020-03-05,-14
0,2020-02-21,"King County, WA",NA,NA,NA,2020-03-05,-13
0,2020-02-22,"King County, WA",NA,NA,NA,2020-03-05,-12
0,2020-02-23,"King County, WA",NA,NA,NA,2020-03-05,-11
0,2020-02-24,"King County, WA",NA,NA,NA,2020-03-05,-10
0,2020-02-25,"King County, WA",NA,NA,NA,2020-03-05,-9
0,2020-02-26,"King County, WA",NA,NA,NA,2020-03-05,-8
0,2020-02-27,"King County, WA",NA,NA,NA,2020-03-05,-7
0,2020-02-28,"King County, WA",NA,NA,NA,2020-03-05,-6
1,2020-02-29,"King County, WA",NA,NA,NA,2020-03-05,-5
1,2020-03-01,"King County, WA",NA,NA,NA,2020-03-05,-4
5,2020-03-02,"King County, WA",NA,NA,NA,2020-03-05,-3
6,2020-03-03,"King County, WA",NA,NA,NA,2020-03-05,-2
9,2020-03-04,"King County, WA",NA,NA,NA,2020-03-05,-1
10,2020-03-05,"King County, WA",NA,NA,NA,2020-03-05,0
12,2020-03-06,"King County, WA",NA,NA,NA,2020-03-05,1
15,2020-03-07,"King County, WA",NA,NA,NA,2020-03-05,2
17,2020-03-08,"King County, WA",NA,NA,NA,2020-03-05,3
21,2020-03-09,"King County, WA",NA,NA,NA,2020-03-05,4
22,2020-03-10,"King County, WA",NA,NA,NA,2020-03-05,5
26,2020-03-11,"King County, WA",NA,NA,NA,2020-03-05,6
27,2020-03-12,"King County, WA",NA,NA,NA,2020-03-05,7
32,2020-03-13,"King County, WA",NA,NA,NA,2020-03-05,8
35,2020-03-14,"King County, WA",NA,NA,NA,2020-03-05,9
37,2020-03-15,"King County, WA",NA,NA,NA,2020-03-05,10
43,2020-03-16,"King County, WA",NA,NA,NA,2020-03-05,11
43,2020-03-17,"King County, WA",NA,NA,NA,2020-03-05,12
56,2020-03-18,"King County, WA",NA,NA,NA,2020-03-05,13
60,2020-03-19,"King County, WA",NA,NA,NA,2020-03-05,14
67,2020-03-20,"King County, WA",NA,NA,NA,2020-03-05,15
74,2020-03-21,"King County, WA",NA,NA,NA,2020-03-05,16
75,2020-03-22,"King County, WA",NA,NA,NA,2020-03-05,17
87,2020-03-23,"King County, WA",NA,NA,NA,2020-03-05,18
94,2020-03-24,"King County, WA",NA,NA,NA,2020-03-05,19
100,2020-03-25,"King County, WA",NA,NA,NA,2020-03-05,20
109,2020-03-26,"King County, WA",NA,NA,NA,2020-03-05,21
125,2020-03-27,"King County, WA",NA,NA,NA,2020-03-05,22
136,2020-03-28,"King County, WA",NA,NA,NA,2020-03-05,23
144,2020-03-29,"King County, WA",NA,NA,NA,2020-03-05,24
150,2020-03-30,"King County, WA",161.37899969,171.2815458185076,166.14792056,2020-03-05,25
150,2020-03-31,"King County, WA",177.28559238,203.63893019560723,189.97697306999999,2020-03-05,26
165,2020-04-01,"King County, WA",194.76004515,242.04121617614385,217.52996315,2020-03-05,27
0,2020-01-22,"New York County, NY",NA,NA,NA,2020-03-22,-60
0,2020-01-23,"New York County, NY",NA,NA,NA,2020-03-22,-59
0,2020-01-24,"New York County, NY",NA,NA,NA,2020-03-22,-58
0,2020-01-25,"New York County, NY",NA,NA,NA,2020-03-22,-57
0,2020-01-26,"New York County, NY",NA,NA,NA,2020-03-22,-56
0,2020-01-27,"New York County, NY",NA,NA,NA,2020-03-22,-55
